,misto30,ANO,ČSSD,KDU-ČSL,KSČM,ODS,STAN,TOP 09,Zelení,ŽB,Nezávislí
1,Brno-Bohunice,0,0.2857142857,0.7142857143,0,0,0,0,0,0,0
2,Brno-Bosonohy,,,,,,,,,,
3,Brno-Bystrc,0.2222222222,0.3333333333,0.2222222222,0,0.1111111111,0,0.1111111111,0,0,0
4,Brno-Černovice,0.4285714286,0.4285714286,0,0,0,0,0,0,0,0.1428571429
5,Brno-Chrlice,0.4,0.2,0,0,0,0,0,0,0,0.4
6,Brno-Ivanovice,,,,,,,,,,
7,Brno-Jehnice,,,,,,,,,,
8,Brno-jih,0.2,0,0.2,0,0,0.2,0.2,0,0,0.2
9,Brno-Jundrov,0,0,0,0,0,0,0,0.6,0,0.4
10,Brno-Kníničky,,,,,,,,,,
11,Brno-Kohoutovice,0,0.6,0.2,0,0,0,0,0,0,0.2
12,Brno-Komín,0.4,0,0.2,0,0,0,0,0,0,0.4
13,Brno-Královo Pole,0,0.4444444444,0.2222222222,0,0,0,0.1111111111,0.2222222222,0,0
14,Brno-Líšeň,0.3333333333,0.3333333333,0,0,0.1666666667,0.1666666667,0,0,0,0
15,Brno-Maloměřice a Obřany,0,0.4,0.4,0,0,0,0.2,0,0,0
16,Brno-Medlánky,0,0,0.2,0,0,0,0,0,0,0.8
17,Brno-Nový Lískovec,0,0,0.2,0,0,0,0,0,0,0.8
18,Brno-Ořešín,,,,,,,,,,
19,Brno-Řečkovice a Mokrá Hora,0.2857142857,0.5714285714,0,0,0.1428571429,0,0,0,0,0
20,Brno-sever,0,0.3636363636,0.1818181818,0,0,0,0,0,0,0.4545454545
21,Brno-Slatina,0,0.4285714286,0.2857142857,0,0,0,0,0,0,0.2857142857
22,Brno-Starý Lískovec,0,0,0.2857142857,0,0.4285714286,0,0.1428571429,0.1428571429,0,0
23,Brno-střed,0.3636363636,0,0.09090909091,0,0,0,0,0.1818181818,0.3636363636,0
24,Brno-Tuřany,0.4,0,0,0,0.2,0,0,0,0,0.4
25,Brno-Útěchov,,,,,,,,,,
26,Brno-Vinohrady,0.1428571429,0.7142857143,0,0.1428571429,0,0,0,0,0,0
27,Brno-Žabovřesky,0,0.4285714286,0.2857142857,0,0.1428571429,0,0,0.1428571429,0,0
28,Brno-Žebětín,,,,,,,,,,
29,Brno-Židenice,0.4444444444,0,0.3333333333,0,0,0,0.2222222222,0,0,0
30,Brno,0.4545454545,0,0.1818181818,0,0,0,0.09090909091,0.09090909091,0.1818181818,0
