Název,Početobyvatel,Katastrální výměra [km²],Zákl. sídelních jednotek:
Městská část Brno - Bohunice,13026,"3,02",5
Městská část Brno - Bosonohy,2366,"7,15",3
Městská část Brno - Bystrc,23539,"27,24",13
Městská část Brno - Černovice,6955,"6,29",9
Městská část Brno - Chrlice,3187,"9,50",4
Městská část Brno - Ivanovice,1672,"2,45",2
Městská část Brno - Jehnice,1055,"4,07",1
Městská část Brno - jih,7608,"12,77",18
Městská část Brno - Jundrov,4054,"4,15",7
Městská část Brno - Kníničky,1011,"10,92",6
Městská část Brno - Kohoutovice,12388,"4,09",5
Městská část Brno - Komín,7284,"7,60",9
Městská část Brno - Královo Pole,23280,"9,91",21
Městská část Brno - Líšeň,25089,"15,71",15
Městská část Brno - Maloměřice a Obřany,5232,"9,36",11
Městská část Brno - Medlánky,5309,"3,51",5
Městská část Brno - Nový Lískovec,10064,"1,66",3
Městská část Brno - Ořešín,573,"3,07",1
Městská část Brno - Řečkovice a Mokrá Hora,14389,"7,57",13
Městská část Brno - sever,43028,"12,24",23
Městská část Brno - Slatina,8664,"5,83",8
Městská část Brno - Starý Lískovec,12556,"3,28",5
Městská část Brno - střed,82878,"15,00",47
Městská část Brno - Tuřany,5205,"17,84",9
Městská část Brno - Útěchov,785,"1,18",1
Městská část Brno - Vinohrady,12386,"2,28",2
Městská část Brno - Žabovřesky,19490,"4,35",12
Městská část Brno - Žebětín,4115,"13,60",4
Městská část Brno - Židenice,19219,"3,03",15
