"","misto30","efektivitacerpani6","star30","koal30","koalkdu30"
"1","Brno-Bohunice",0.753964306256913,"KDU","NEW","KDU"
"2","Brno-Bosonohy",0.997244425531915,"ČSSD","OLD","OLD"
"3","Brno-Bystrc",0.371310162281946,"ČSSD","OLD","OLD"
"4","Brno-Černovice",0.815865900816339,"ČSSD","OLD","OLD"
"5","Brno-Chrlice",0.817414836239767,"ANO","NEW","NEW"
"6","Brno-Ivanovice",0.137955857385399,"ODS","OLD","OLD"
"7","Brno-Jehnice",0.999817676249144,"NK","NK","NK"
"8","Brno-jih",0.554187933502386,"ANO","NEW","NEW"
"9","Brno-Jundrov",0.688610466346154,"SZ","NEW","NEW"
"10","Brno-Kníničky",0.137885344827586,"NK","NK","NK"
"11","Brno-Kohoutovice",0.782881790025512,"KDU","NEW","KDU"
"12","Brno-Komín",0.785754066152698,"ANO","NEW","NEW"
"13","Brno-Královo Pole",0.148212184815738,"ANO","NEW","NEW"
"14","Brno-Líšeň",0.542711213157817,"ČSSD","OLD","OLD"
"15","Brno-Maloměřice a Obřany",0.852420039307715,"KDU","NEW","KDU"
"16","Brno-Medlánky",0.468236649954099,"NK","NK","NK"
"17","Brno-Nový Lískovec",0.809102398991491,"SZ","NEW","NEW"
"18","Brno-Ořešín",0.990159752342704,"STAN","NK","NK"
"19","Brno-Řečkovice a Mokrá Hora",0.92445891414394,"ČSSD","OLD","OLD"
"20","Brno-sever",0.447127096235283,"SOL","NK","NK"
"21","Brno-Slatina",0.777984706193316,"ČSSD","OLD","OLD"
"22","Brno-Starý Lískovec",0.557562259522272,"ODS","OLD","OLD"
"23","Brno-střed",0.367060723229487,"ŽB","NEW","NEW"
"24","Brno-Tuřany",0.884303539240506,"NK","NK","NK"
"25","Brno-Útěchov",0.944453040224509,"STAN","NK","NK"
"26","Brno-Vinohrady",0.947804703492399,"ČSSD","OLD","OLD"
"27","Brno-Žabovřesky",0.481313280365124,"ČSSD","OLD","OLD"
"28","Brno-Žebětín",0.62998557634133,"KDU","NEW","KDU"
"29","Brno-Židenice",0.353200130399348,"ANO","NEW","NEW"
"30","Brno",0.864115117522932,"ANO","NEW","NEW"
