misto30,star30,koal30,koalkdu30,ef.cer.up,podil_cerpano
MČ Brno - Bohunice,KDU,NEW,KDU,0.85,0.22
MČ Brno - Bosonohy,ČSSD,OLD,OLD,0.92,0.43
MČ Brno - Bystrc,ČSSD,OLD,OLD,0.32,0.35
MČ Brno - Černovice,ČSSD,OLD,OLD,0.88,0.50
MČ Brno - Chrlice,ANO,NEW,NEW,0.86,0.42
MČ Brno - Ivanovice,ODS,OLD,OLD,0.83,0.01
MČ Brno - Jehnice,NK,NK,NK,0.98,0.84
MČ Brno - jih,ANO,NEW,NEW,0.72,0.34
MČ Brno - Jundrov,SZ,NEW,NEW,0.84,0.27
MČ Brno - Kníničky,NK,NK,NK,0.58,0.02
MČ Brno - Kohoutovice,KDU,NEW,KDU,0.82,0.64
MČ Brno - Komín,ANO,NEW,NEW,0.76,0.32
MČ Brno - Královo Pole,ANO,NEW,NEW,0.61,0.09
MČ Brno - Líšeň,ČSSD,OLD,OLD,0.67,0.51
MČ Brno - Maloměřice a Obřany,KDU,NEW,KDU,0.89,0.50
MČ Brno - Medlánky,NK,NK,NK,0.79,0.19
MČ Brno - Nový Lískovec,SZ,NEW,NEW,0.90,0.20
MČ Brno - Ořešín,STAN,NK,NK,0.95,0.26
MČ Brno - Řečkovice a Mokrá Hora,ČSSD,OLD,OLD,0.93,0.42
MČ Brno - sever,SOL,NK,NK,0.58,0.49
MČ Brno - Slatina,ČSSD,OLD,OLD,0.92,0.06
MČ Brno - Starý Lískovec,ODS,OLD,OLD,0.67,0.40
MČ Brno - střed,ŽB,NEW,NEW,0.68,0.22
MČ Brno - Tuřany,NK,NK,NK,0.88,0.29
MČ Brno - Útěchov,STAN,NK,NK,0.82,0.44
MČ Brno - Vinohrady,ČSSD,OLD,OLD,0.91,0.35
MČ Brno - Žabovřesky,ČSSD,OLD,OLD,0.72,0.29
MČ Brno - Žebětín,KDU,NEW,KDU,0.73,0.58
MČ Brno - Židenice,ANO,NEW,NEW,0.55,0.16
Nákladové středisko Magistrát města Brna,ANO,NEW,NEW,0.90,0.17
