,misto30,podil_cerpano,star30,koal30,koalkdu30
1,Brno-Bohunice,0.217417097,KDU,NEW,KDU
2,Brno-Bosonohy,0.42515561,CSSD,OLD,OLD
3,Brno-Bystrc,0.345210108,CSSD,OLD,OLD
4,Brno-Černovice,0.497582617,CSSD,OLD,OLD
5,Brno-Chrlice,0.421962135,ANO,NEW,NEW
6,Brno-Ivanovice,0.011948499,ODS,OLD,OLD
7,Brno-Jehnice,0.836664103,NK,NK,NK
8,Brno-jih,0.337164232,ANO,NEW,NEW
9,Brno-Jundrov,0.273086014,SZ,NEW,NEW
10,Brno-Kníničky,0.02232765,NK,NK,NK
11,Brno-Kohoutovice,0.639749806,KDU,NEW,KDU
12,Brno-Komín,0.319509169,ANO,NEW,NEW
13,Brno-Královo Pole,0.088567104,ANO,NEW,NEW
14,Brno-Líšeň,0.510630978,CSSD,OLD,OLD
15,Brno-Maloměřice a Obřany,0.498891641,KDU,NEW,KDU
16,Brno-Medlánky,0.191443939,NK,NK,NK
17,Brno-Nový Lískovec,0.20334246,SZ,NEW,NEW
18,Brno-Ořešín,0.261859167,STAN,NK,NK
19,Brno-Řečkovice a Mokrá Hora,0.422255931,CSSD,OLD,OLD
20,Brno-sever,0.490362123,SOL,NK,NK
21,Brno-Slatina,0.063273231,CSSD,OLD,OLD
22,Brno-Starý Lískovec,0.398869388,ODS,OLD,OLD
23,Brno-střed,0.224920834,ZB,NEW,NEW
24,Brno-Tuřany,0.290245052,NK,NK,NK
25,Brno-Útěchov,0.440665862,STAN,NK,NK
26,Brno-Vinohrady,0.352846876,CSSD,OLD,OLD
27,Brno-Žabovřesky,0.285452315,CSSD,OLD,OLD
28,Brno-Žebětín,0.581225459,KDU,NEW,KDU
29,Brno-Židenice,0.156622957,ANO,NEW,NEW
30,Brno,0.167927666,ANO,NEW,NEW
