Název,Početobyvatel,Katastrální výměra [km²],Zákl. sídelních jednotek:
Městská část Brno - střed,64316,"15,00",47
Městská část Brno - sever,47643,"12,24",23
Městská část Brno - Královo Pole,28674,"9,91",21
Městská část Brno - Líšeň,26781,"15,71",15
Městská část Brno - Bystrc,24218,"27,24",13
Městská část Brno - Židenice,22000,"3,03",15
Městská část Brno - Žabovřesky,21047,"4,35",12
Městská část Brno - Řečkovice a Mokrá Hora,15486,"7,57",13
Městská část Brno - Bohunice,14683,"3,02",5
Městská část Brno - Vinohrady,13361,"2,28",2
Městská část Brno - Starý Lískovec,12931,"3,28",5
Městská část Brno - Kohoutovice,12621,"4,09",5
Městská část Brno - Nový Lískovec,11349,"1,66",3
Městská část Brno - jih,9690,"12,77",18
Městská část Brno - Slatina,9360,"5,83",8
Městská část Brno - Černovice,8024,"6,29",9
Městská část Brno - Komín,7457,"7,60",9
Městská část Brno - Medlánky,5898,"3,51",5
Městská část Brno - Tuřany,5674,"17,84",9
Městská část Brno - Maloměřice a Obřany,5621,"9,36",11
Městská část Brno - Jundrov,4132,"4,15",7
Městská část Brno - Chrlice,3722,"9,50",4
Městská část Brno - Žebětín,3577,"13,60",4
Městská část Brno - Bosonohy,2457,"7,15",3
Městská část Brno - Ivanovice,1746,"2,45",2
Městská část Brno - Jehnice,1102,"4,07",1
Městská část Brno - Kníničky,1006,"10,92",6
Městská část Brno - Útěchov,760,"1,18",1
Městská část Brno - Ořešín,577,"3,07",1
